#|Warning: Extending chunks with slot named FIRST because of chunk definition (B FIRST 1 SECOND 2) |#
#|Warning: Extending chunks with slot named SECOND because of chunk definition (B FIRST 1 SECOND 2) |#
#|Warning: Extending chunks with slot named START because of chunk definition (FIRST-GOAL START 1 END 6) |#
#|Warning: Extending chunks with slot named END because of chunk definition (FIRST-GOAL START 1 END 6) |#
#|Warning: Production INIT-AGENT uses previously undefined slots (COUNT). |#
#|Warning: Extending chunks with slot named FIRST because of chunk definition (B FIRST 1 SECOND 2) |#
#|Warning: Extending chunks with slot named SECOND because of chunk definition (B FIRST 1 SECOND 2) |#
#|Warning: Extending chunks with slot named START because of chunk definition (FIRST-GOAL START 1 END 6) |#
#|Warning: Extending chunks with slot named END because of chunk definition (FIRST-GOAL START 1 END 6) |#
#|Warning: Production INIT-AGENT uses previously undefined slot COUNT. |#
     0.000   GOAL                   SET-BUFFER-CHUNK GOAL FIRST-GOAL NIL
     0.350   PROCEDURAL             MODULE-REQUEST RETRIEVAL
     0.350   PROCEDURAL             CLEAR-BUFFER RETRIEVAL
     0.350   DECLARATIVE            start-retrieval
     0.350   PROCEDURAL             CONFLICT-RESOLUTION
     0.400   DECLARATIVE            RETRIEVED-CHUNK E
     0.400   DECLARATIVE            SET-BUFFER-CHUNK RETRIEVAL E
     0.400   PROCEDURAL             CONFLICT-RESOLUTION
     0.400   PROCEDURAL             PRODUCTION-SELECTED INCREMENT
     0.400   PROCEDURAL             BUFFER-READ-ACTION GOAL
     0.400   PROCEDURAL             BUFFER-READ-ACTION RETRIEVAL
     0.450   PROCEDURAL             PRODUCTION-FIRED INCREMENT
4
     0.450   PROCEDURAL             MOD-BUFFER-CHUNK GOAL
     0.450   PROCEDURAL             MODULE-REQUEST RETRIEVAL
     0.450   PROCEDURAL             CLEAR-BUFFER RETRIEVAL
     0.450   DECLARATIVE            start-retrieval
     0.450   PROCEDURAL             CONFLICT-RESOLUTION
     0.500   DECLARATIVE            RETRIEVED-CHUNK F
     0.500   DECLARATIVE            SET-BUFFER-CHUNK RETRIEVAL F
     0.500   PROCEDURAL             CONFLICT-RESOLUTION
     0.500   PROCEDURAL             PRODUCTION-SELECTED INCREMENT
     0.500   PROCEDURAL             BUFFER-READ-ACTION GOAL
     0.500   PROCEDURAL             BUFFER-READ-ACTION RETRIEVAL
     0.550   PROCEDURAL             PRODUCTION-FIRED INCREMENT
5
     0.550   PROCEDURAL             MOD-BUFFER-CHUNK GOAL
     0.550   PROCEDURAL             MODULE-REQUEST RETRIEVAL
     0.550   PROCEDURAL             CLEAR-BUFFER RETRIEVAL
     0.550   DECLARATIVE            start-retrieval
     0.550   PROCEDURAL             CONFLICT-RESOLUTION
     0.550   PROCEDURAL             PRODUCTION-SELECTED STOP
     0.550   PROCEDURAL             BUFFER-READ-ACTION GOAL
     0.600   DECLARATIVE            RETRIEVAL-FAILURE
     0.600   PROCEDURAL             PRODUCTION-FIRED STOP
6
     0.600   PROCEDURAL             CLEAR-BUFFER GOAL
     0.600   PROCEDURAL             CONFLICT-RESOLUTION
     0.600   ------                 Stopped because no events left to process
*** BUFFER TRACE ***
[[0,[["GOAL",null,null,null,null,null,true,null,"","FIRST-GOAL",""]]],[50,[["GOAL",null,null,null,null,null,true,true,"","",""]]],[100,[["GOAL",null,null,null,null,null,true,null,"","",""]]],[150,[["GOAL",null,null,null,null,null,true,true,"","",""]]],[200,[["GOAL",null,null,null,null,null,true,null,"","",""]]],[250,[["GOAL",null,null,null,null,null,true,true,"","",""]]],[300,[["GOAL",null,null,null,null,null,true,null,"","",""]]],[350,[["GOAL",null,null,null,null,null,true,true,"","",""]]],[400,[["GOAL",null,null,null,null,null,true,null,"","",""]]],[450,[["GOAL",null,null,null,null,null,true,true,"","",""]]],[500,[["GOAL",null,null,null,null,null,true,null,"","",""]]],[550,[["GOAL",null,null,null,null,null,true,true,"","",""]]],[600,[["GOAL",null,true,null,null,null,true,null,"","",""]]]]
*** ACTIVATION TRACE ***
#|Warning: No activation trace information available for time 1 |#
None
